Trend,Chi square val,dfThreshold,Parameter,Expected counts,Actual counts,Expected count no,Actual count no,Significance value yes,Significance value no
United States,13.73682011,7.815,Winter,675.8438987,723,1386.156101,1339,3.290253706,1.604218955
United States,13.73682011,7.815,Spring,594.2313231,546,1218.768677,1267,3.914738992,1.90869734
United States,13.73682011,7.815,Summer,576.8599717,552,1183.140028,1208,1.071348722,0.522354226
United States,13.73682011,7.815,Fall,702.0648065,728,1439.935194,1414,0.958080019,0.46712815
India,9.573450395,7.815,Winter,244.7249582,224,1817.275042,1838,1.755129088,0.236356018
India,9.573450395,7.815,Spring,215.1728173,251,1597.827183,1562,5.965377215,0.803332823
India,9.573450395,7.815,Summer,208.8826025,197,1551.117397,1563,0.675959805,0.091028728
India,9.573450395,7.815,Fall,254.219622,251,1887.780378,1891,0.040775631,0.005491087
United Kingdom,4.918988818,7.815,Winter,104.9957567,108,1957.004243,1954,0.085960404,0.004611885
United Kingdom,4.918988818,7.815,Spring,92.31683168,108,1720.683168,1705,2.664322031,0.142944252
United Kingdom,4.918988818,7.815,Summer,89.61810467,84,1670.381895,1676,0.352195577,0.018895739
United Kingdom,4.918988818,7.815,Fall,109.0693069,96,2032.930693,2046,1.566038957,0.084019974
Japan,4.164917554,7.815,Winter,59.65667995,65,2002.34332,1997,0.478589642,0.014258828
Japan,4.164917554,7.815,Spring,52.45274527,40,1760.547255,1773,2.956391778,0.088081058
Japan,4.164917554,7.815,Summer,50.91937765,52,1709.080622,1708,0.022933208,0.000683259
Japan,4.164917554,7.815,Fall,61.97119712,68,2080.028803,2074,0.586505762,0.01747402
South Korea,1.228312352,7.815,Winter,48.52076636,52,2013.479234,2010,0.249482183,0.006012015
South Korea,1.228312352,7.815,Spring,42.66156616,45,1770.338434,1768,0.128177967,0.003088829
South Korea,1.228312352,7.815,Summer,41.41442716,42,1718.585573,1718,0.008279616,0.000199522
South Korea,1.228312352,7.815,Fall,50.40324032,44,2091.59676,2098,0.813469261,0.01960296
Canada,7.981306649,7.815,Winter,46.92992156,34,2015.070078,2028,3.562394014,0.082966282
Canada,7.981306649,7.815,Spring,41.26282628,53,1771.737174,1760,3.338628477,0.0777549
Canada,7.981306649,7.815,Summer,40.05657709,45,1719.943423,1715,0.610072849,0.014208276
Canada,7.981306649,7.815,Fall,48.75067507,45,2093.249325,2097,0.288561408,0.006720443
Spain,6.775099828,7.815,Winter,35.52886717,29,2026.471133,2033,1.199759799,0.021034648
Spain,6.775099828,7.815,Spring,31.23852385,32,1781.761476,1781,0.018561886,0.000325434
Spain,6.775099828,7.815,Summer,30.32531825,42,1729.674682,1718,4.494534664,0.078799901
Spain,6.775099828,7.815,Fall,36.90729073,31,2105.092709,2111,0.945506513,0.016576982
France,1.048157008,7.815,Winter,30.49119198,30,2031.508808,2032,0.007912762,0.000118764
France,1.048157008,7.815,Spring,26.80918092,28,1786.190819,1785,0.052894197,0.000793896
France,1.048157008,7.815,Summer,26.02545969,22,1733.97454,1738,0.622633602,0.009345192
France,1.048157008,7.815,Fall,31.67416742,35,2110.325833,2107,0.349217147,0.005241448
Egypt,70.13937227,7.815,Winter,26.77922078,6,2035.220779,2056,16.12354668,0.21215193
Egypt,70.13937227,7.815,Spring,23.54545455,43,1789.454545,1770,16.07441207,0.211505422
Egypt,70.13937227,7.815,Summer,22.85714286,45,1737.142857,1715,21.45089286,0.28224859
Egypt,70.13937227,7.815,Fall,27.81818182,7,2114.181818,2135,15.57961973,0.204994996
Mexico,2.604727471,7.815,Winter,26.51407998,33,2035.48592,2029,1.586596953,0.020666887
Mexico,2.604727471,7.815,Spring,23.31233123,21,1789.687669,1792,0.22935826,0.002987603
Mexico,2.604727471,7.815,Summer,22.63083451,23,1737.369165,1737,0.006022012,7.84E-05
Mexico,2.604727471,7.815,Fall,27.54275428,23,2114.457246,2119,0.749257543,0.00975977
Turkey,58.24066592,7.815,Winter,26.51407998,13,2035.48592,2049,6.888051851,0.089723223
Turkey,58.24066592,7.815,Spring,23.31233123,55,1789.687669,1758,43.07198374,0.561052283
Turkey,58.24066592,7.815,Summer,22.63083451,11,1737.369165,1749,5.977522012,0.077862733
Turkey,58.24066592,7.815,Fall,27.54275428,21,2114.457246,2121,1.554224864,0.020245211
Australia,7.689605487,7.815,Winter,21.74154558,20,2040.258454,2042,0.139501629,0.001486567
Australia,7.689605487,7.815,Spring,19.11611161,12,1793.883888,1801,2.649024315,0.028228719
Australia,7.689605487,7.815,Summer,18.5572843,28,1741.442716,1732,4.804845275,0.05120173
Australia,7.689605487,7.815,Fall,22.58505851,22,2119.414941,2120,0.015155748,0.000161504
Taiwan,8.655362257,7.815,Winter,20.68098238,25,2041.319018,2037,0.901983901,0.009138167
Taiwan,8.655362257,7.815,Spring,18.18361836,9,1794.816382,1804,4.638177316,0.046990236
Taiwan,8.655362257,7.815,Summer,17.65205092,15,1742.347949,1745,0.39844515,0.004036722
Taiwan,8.655362257,7.815,Fall,21.48334833,29,2120.516652,2113,2.62994629,0.026644475
Brazil,0.50423406,7.815,Winter,19.09013759,18,2042.909862,2044,0.062252037,0.000581719
Brazil,0.50423406,7.815,Spring,16.78487849,15,1796.215122,1798,0.189801268,0.001773613
Brazil,0.50423406,7.815,Summer,16.29420085,18,1743.705799,1742,0.178575849,0.001668717
Brazil,0.50423406,7.815,Fall,19.83078308,21,2122.169217,2121,0.068936673,0.000644184
